CODIGO,CATEGORIA,SUB CATEGORIA,PROVEDOR,DESCRIPCION
CANADIAN 590 MONO,PANEL SOLAR,MONOCRISTALINO,NORLEK,PANEL CANADIAN SOLAR 590W
FUSIBLE 15A,CORRIENTE DIRECTA,FUSIBLE,NORLEK,FUSIBLE SOLAR 15A 1000V
CANADIAN 595 MONO,PANEL SOLAR,MONOCRISTALINO,NORLEK,PANEL CANADIAN SOLAR 595W
RISEN 610 MONO,PANEL SOLAR,MONOCRISTALINO,NORLEK,PANEL RISEN TOPCON 610W
SOLIS S5 60K 2F,INVERSOR,BIFASICO,NORLEK,INV. SOLIS-60KW 220V
HUAWEI HBD 5K 2F,INVERSOR,BIFASICO,NORLEK,INVERSOR HUAWEI 5KW HIB
ZNSHINE 605 BIFA,PANEL SOLAR,BIFASICO,NORLEK,PANEL SOLAR ZNSHINE 605W
CANADIAN 620 BIFA,PANEL SOLAR,BIFASICO,NORLEK,PANEL CANADIAN BIFACIAL 620W
,,,,
CANADIAN 555 MONO,PANEL SOLAR,MONOCRISTALINO,BAYWA,"""CANADIAN SOLAR CS6W-MS-555-30MM"""
SOLIS S5 8K 2F,INVERSOR,BIFASICO,BAYWA,"""SOLIS S5-GR1P8K"""
MONITOREO SOLIS S3,INVERSOR,ANTENA,BAYWA,"""SOLIS WIFI STICK S3-WIFI-ST"""
MC4 M,CORRIENTE DIRECTA,CONECTORES,BAYWA,"""MC4 PV-KBT4/611-UR MALE SOLARLINE CONNECTOR"""
MC4 H,CORRIENTE DIRECTA,CONECTORES,BAYWA,"""MC4 PV-KBT4/611-UR FEMALE SOLARLINE CONNECTOR"""
SOLIS S6 6K 2F,INVERSOR,BIFASICO,BAYWA,"""SOLIS S6-GR1P6K UL"""
SOLIS S5 10K 2F,INVERSOR,BIFASICO,BAYWA,"""SOLIS-S5-GR1P10K"""
SOLIS S6 5K 2F,INVERSOR,BIFASICO,BAYWA,"""SOLIS S6-GR1P5K UL"""
SOLIS S5 20K LV,INVERSOR,BIFASICO,BAYWA,"""SOLIS-S5-GC20K-LV 220V"""
SOLIS S6 3.6K 2F,INVERSOR,BIFASICO,BAYWA,"""SOLIS MINI S6-GR1P3.6K-M UL"""
SOLIS S5 30K LV,INVERSOR,BIFASICO,BAYWA,"""SOLIS S5-GC30K-LV"""
CANADIAN 550 MONO,PANEL SOLAR,MONOCRISTALINO,BAYWA,"""CANADIAN SOLAR CS6W-MS-550-30MM"""
FOTOVOLTAICO C.10,CORRIENTE DIRECTA,CABLE,BAYWA,"""10-19 CU PV WIRE SINGLE LAYER BLACK 2000V"""
SOLIS S5 60K 2F,INVERSOR,BIFASICO,BAYWA,"""SOLIS-60K-LV-5G 220V"""
FOTOVOLTAIVO VIAKON C.10 R,CORRIENTE DIRECTA,CABLE,BAYWA,"""10-19 CU PV WIRE VIAKON SINGLE LAYER RED 2000V"""
FOTOVOLTAICO VIAKON C.10 N,CORRIENTE DIRECTA,CABLE,BAYWA,"""10-19 CU PV WIRE VIAKON SINGLE LAYER BLACK 2000V"""
HUAWEI 5K 2F,INVERSOR,BIFASICO,BAYWA,"""HUAWEI SUN2000-5KTL-L1"""
HUAWEI 10K 2F,INVERSOR,BIFASICO,BAYWA,"""HUAWEI SUN2000-10KTL-LC0-ZH"""
MICRO HOYMILES 800W,INVERSOR,MONOFASICO,BAYWA,"""HOYMILES HMS-800-2T-LV"""
CABLE HOYMILES,INVERSOR,MONOFASICO,BAYWA,"""HOYMILES AC Trunk Cable_20T_20L_10AWG_2m"""
CAPUCHA HOYMILES,INVERSOR,MONOFASICO,BAYWA,"""HOYMILES END CAP AC TRUNK"""
MONITOREOS HOYMILES,INVERSOR,ANTENA,BAYWA,"""HOYMILES DTU-LITE-S"""
TRINA 615 MONO,PANEL SOLAR,MONOCRISTALINO,BAYWA,"""TRINA TSM-NE19R 615W"""
CANADIAN 610 MONO,PANEL SOLAR,MONOCRISTALINO,BAYWA,"""CANADIAN SOLAR CS6.172TD-610"""
SOLIS S6 2K 2F,INVERSOR,BIFASICO,BAYWA,"""SOLIS MINI S6-GR1P2K-M UL"""
S5 RIBBRACKET II,ESTRUCTURA,PREFABRICADA,BAYWA,"""S-5! RIBBRACKET II"""
S5 RIBBRACKET III,ESTRUCTURA,PREFABRICADA,BAYWA,"""S-5! RIBBRACKET III"""
S5 RIBBRACKET V,ESTRUCTURA,PREFABRICADA,BAYWA,"""S-5! RIBBRACKET V"""
TRINA 615 MONO,PANEL SOLAR,MONOCRISTALINO,BAYWA,"""TRINA TSM-NEG19RC.20-615W"""
SOLIS 124K-HV,INVERSOR,TRIFASICO,BAYWA,"""SOLIS 124K-HV-5G"""
SOLIS S6 3.6K 2F,INVERSOR,BIFASICO,BAYWA,"""SOLIS S6-GR1P3.6K-S """
HUAWEI 20K 2F,INVERSOR,BIFASICO,BAYWA,"""HUAWEI SUN2000-20KTL-M3"""
SOLIS S6 6K 2F,INVERSOR,BIFASICO,BAYWA,"""SOLIS S6-GR1P6K-S """
SOLIS 15K LV,INVERSOR,BIFASICO,BAYWA,"""SOLIS 15K-LV-5G"""
MINIRIEL K2,ESTRUCTURA,PREFABRICADA,BAYWA,"""MINIRAIL BASE SET"""
RENSOLAR 605 BIFA,PANEL SOLAR,BIFACIAL,BAYWA,"""RENSOLA N-TYPE BIFACIAL RS5J-605NBG-E1<br />"""
PIJA PREFABRICADA,ESTRUCTURA,PREFABRICADA,BAYWA,"""EJOT JF3-2-5.5x25 E16 """
SEPARADOR MINIRIEL K2,ESTRUCTURA,PREFABRICADA,BAYWA,"""K2 CROSS CLAMP SET, MILL"""
